collection_id,target_family,target_role,target_domain,target_fulltext_stratum,question,actual_role,actual_family,actual_domain,actual_fulltext_stratum,writer_id,written_at,independence_attestation,consent_record,compensation_terms,ethics_review_applicability,ethics_review_reference,notes
HQ001,constraint,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ002,comparative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ003,contradiction,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ004,multihop,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ005,temporal,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ006,aggregation,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ007,negative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ008,abstention,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ009,constraint,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ010,comparative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ011,contradiction,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ012,multihop,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ013,temporal,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ014,aggregation,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ015,negative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ016,abstention,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ017,constraint,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ018,comparative,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ019,contradiction,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ020,multihop,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ021,temporal,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ022,aggregation,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ023,negative,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ024,abstention,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ025,constraint,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ026,comparative,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ027,contradiction,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ028,multihop,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ029,temporal,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ030,aggregation,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ031,negative,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ032,abstention,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ033,constraint,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ034,comparative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ035,contradiction,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ036,multihop,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ037,temporal,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ038,aggregation,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ039,negative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ040,abstention,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ041,constraint,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ042,comparative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ043,contradiction,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ044,multihop,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
