task_id,task_family,question,constraint_requirements,required_units,valid_pair_requirements,valid_path_requirements,joint_sufficiency,abstention_assessment,scope_limitations,annotator_id,annotation_time,provenance_kind
multihop_0190,multihop,"Based on the establishment of patient-derived cancer organoids for drug screening, how could the integration of organoid-driven nanomedicine platforms enhance the evaluation of ACVR1 inhibitors targeting cancer-associated fibroblasts in colorectal cancer, and what specific advantages would this combined approach offer over traditional 2D cell culture methods for developing personalized therapeutic strategies?",,,,,,,,,,
contradiction_0128,contradiction,"Based on the provided abstracts, what contradiction exists regarding the speed and efficiency claims of drug repurposing approaches for neurodegenerative diseases?",,,,,,,,,,
constraint_0006,constraint,What are the approaches for delivering CRISPR/Cas9 systems that involve either targeted nanocarriers for therapeutic applications or electroporation methods specifically applied to frozen-warmed pronuclear-stage embryos in rodents?,,,,,,,,,,
abstention_0165,abstention,"What are the long-term fertility outcomes and reproductive health impacts in pediatric patients who received CAR-T cell therapy for acute lymphoblastic leukemia, and how do these compare to outcomes following conventional chemotherapy regimens?",,,,,,,,,,
negative_0275,negative,"Despite showing promise in preclinical studies for inducing autophagy and clearing toxic proteins in neurodegenerative diseases, what major limitation has prevented felodipine from demonstrating clinical efficacy in Alzheimer's disease treatment?",,,,,,,,,,
temporal_0239,temporal,"How did the understanding of epigenetic mechanisms in cancer progression evolve from the focus on pediatric cancer epigenome and folate influence in 2015, through the discovery of survivin dysregulation mechanisms in 2018, to the characterization of hybrid chromatin states in Barrett's metaplasia by 2021?",,,,,,,,,,
contradiction_0133,contradiction,"Based on the provided papers, what conflicting findings exist regarding the effectiveness of immune checkpoint inhibitors across different cancer types, and how might the patient populations studied contribute to these contradictory results?",,,,,,,,,,
constraint_0009,constraint,What are the clinical implementation challenges and tumor microenvironment considerations for CAR T cell therapies targeting CD19-expressing malignancies and solid tumors?,,,,,,,,,,
abstention_0173,abstention,What is the long-term (10+ year) survival rate of patients with metastatic pancreatic cancer treated with Trop2-targeting CAR-T cells compared to standard chemotherapy regimens?,,,,,,,,,,
abstention_0159,abstention,What are the long-term clinical outcomes and survival rates in patients who have been treated with the combination of tranylcypromine and ML385 for at least 5 years in randomized controlled trials?,,,,,,,,,,
aggregation_0266,aggregation,"What are all the quantitative values, measurements, and numerical data reported across the provided papers on CRISPR genome editing technology, including any statistics on efficiency rates, timeline improvements, cost reductions, multiplexing capabilities, and breeding pipeline metrics?",,,,,,,,,,
multihop_0194,multihop,"Based on the evidence that gut microbiome dysbiosis is associated with type 2 diabetes and that targeted microbiome interventions can improve glycemic control, how do the mechanisms by which resistant starches modulate intestinal microbiota and their metabolites compare to the effects of phage cocktails (MS2 and P22) in terms of their potential to restore balanced microbiota without causing dysbiosis, and what role do short-chain fatty acids versus proinflammatory cytokines play in each therapeutic approach?",,,,,,,,,,
temporal_0238,temporal,"How did CRISPR genome editing capabilities evolve from 2015 to 2022 in terms of precision and application scope, based on the progression from basic Cas9 systems to advanced base and prime editors?",,,,,,,,,,
comparative_0092,comparative,"Compare the molecular target approaches used in FitDock's template-guided protein-ligand docking versus protein structure network (PSN)-based drug design. How do these two methods differ in their utilization of structural information for drug discovery, and what are the relative advantages of each approach?",,,,,,,,,,
aggregation_0050,aggregation,What are all the reported correct prediction rates for ligand docking methods when applied to binding site prediction scenarios?,,,,,,,,,,
